verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
counter,0,-49.71468429,4.590181075,-32.9361431,-45.90781928,3.724243109,-34.47032377,4.194732416
slash,0,-46.88788037,-4.348522993,-39.40920783,-45.90781928,3.724243109,-34.47032377,9.514339074
rein,0,-53.7518658,8.670292479,-37.62626738,-45.90781928,3.724243109,-34.47032377,9.795532153
redress,0,-37.85312489,11.83643358,-30.34118849,-45.90781928,3.724243109,-34.47032377,12.15464908
pare,0,-45.48341869,-8.261241196,-40.3143949,-45.90781928,3.724243109,-34.47032377,13.3411063
shave,0,-47.34911309,-9.723152845,-38.01815085,-45.90781928,3.724243109,-34.47032377,13.98201927
solve,0,-35.4071658,17.14176297,-32.11610398,-45.90781928,3.724243109,-34.47032377,17.1998812
mediate,0,-37.31085024,18.66024135,-32.1903636,-45.90781928,3.724243109,-34.47032377,17.38361696
confront,0,-35.15614974,17.29664303,-29.91441407,-45.90781928,3.724243109,-34.47032377,17.90432212
reconcile,0,-32.94517597,21.09175185,-27.69612988,-45.90781928,3.724243109,-34.47032377,22.70573021
outstrip,0,-56.65600597,-19.10649875,-40.61951059,-45.90781928,3.724243109,-34.47032377,25.97265465
outpace,0,-56.67498617,-19.14929089,-40.61260621,-45.90781928,3.724243109,-34.47032377,26.01649619
outperform,0,-58.53654699,-23.12169756,-39.96720995,-45.90781928,3.724243109,-34.47032377,30.17291917
underperform,0,-58.55946517,-23.1669612,-39.96105206,-45.90781928,3.724243109,-34.47032377,30.22166623
reinvent,1,-11.40935276,7.954581056,-66.68916461,-9.133271748,5.108110163,-69.19807657,4.424655979
invent,1,-10.37159961,8.442308938,-66.45651525,-9.133271748,5.108110163,-69.19807657,4.490712175
reposition,1,-12.86988289,7.358458829,-67.35317827,-9.133271748,5.108110163,-69.19807657,4.73603016
retool,1,-14.98191999,6.92326932,-68.7620811,-9.133271748,5.108110163,-69.19807657,6.139346962
spearhead,1,-16.15352702,-3.624112357,-73.30854729,-9.133271748,5.108110163,-69.19807657,11.93447375
rename,1,-6.697012046,8.698530486,-55.9659784,-9.133271748,5.108110163,-69.19807657,13.92533308
inaugurate,1,2.18961229,0.482868089,-59.44081427,-9.133271748,5.108110163,-69.19807657,15.64623708
buoy,1,-0.043008577,15.7137948,-76.55611235,-9.133271748,5.108110163,-69.19807657,15.78778394
orchestrate,1,-9.458052498,10.35118368,-53.71163328,-9.133271748,5.108110163,-69.19807657,16.35314124
unveil,1,2.344582703,0.838230781,-57.9235588,-9.133271748,5.108110163,-69.19807657,16.64595338
introduce,1,2.025942262,1.582849322,-56.84777192,-9.133271748,5.108110163,-69.19807657,17.01427478
reintroduce,1,1.948464769,1.719192919,-56.65274968,-9.133271748,5.108110163,-69.19807657,17.07849147
evacuate,1,5.207319031,-3.149280597,-73.90129305,-9.133271748,5.108110163,-69.19807657,17.20340929
dispatch,1,5.027687365,-3.399204717,-74.19840346,-9.133271748,5.108110163,-69.19807657,17.26008223
marshal,1,4.547619684,-4.067358195,-75.09340537,-9.133271748,5.108110163,-69.19807657,17.4960256
televise,1,7.678971337,-1.082655655,-69.28079385,-9.133271748,5.108110163,-69.19807657,17.9160247
replenish,1,0.833017776,14.92356883,-81.32847507,-9.133271748,5.108110163,-69.19807657,18.51531052
