verb,x,y
counter,-49.71468429,4.590181075
slash,-46.88788037,-4.348522993
rein,-53.7518658,8.670292479
redress,-37.85312489,11.83643358
pare,-45.48341869,-8.261241196
shave,-47.34911309,-9.723152845
solve,-35.4071658,17.14176297
mediate,-37.31085024,18.66024135
confront,-35.15614974,17.29664303
reconcile,-32.94517597,21.09175185
outstrip,-56.65600597,-19.10649875
outpace,-56.67498617,-19.14929089
outperform,-58.53654699,-23.12169756
underperform,-58.55946517,-23.1669612
reinvent,-11.40935276,7.954581056
invent,-10.37159961,8.442308938
reposition,-12.86988289,7.358458829
retool,-14.98191999,6.92326932
spearhead,-16.15352702,-3.624112357
rename,-6.697012046,8.698530486
inaugurate,2.18961229,0.482868089
buoy,-0.043008577,15.7137948
orchestrate,-9.458052498,10.35118368
unveil,2.344582703,0.838230781
introduce,2.025942262,1.582849322
reintroduce,1.948464769,1.719192919
evacuate,5.207319031,-3.149280597
dispatch,5.027687365,-3.399204717
marshal,4.547619684,-4.067358195
televise,7.678971337,-1.082655655
replenish,0.833017776,14.92356883
deploy,2.564636408,-7.128970566
conserve,1.601416488,14.25332026
launch,1.944479454,-8.067265458
mount,1.767387212,-8.343255121
standardize,-26.20720989,-3.754592736
announce,4.846046062,-1.343593691
automate,-26.29603069,-4.444825616
reuse,4.308776097,12.15354104
recycle,4.69563273,12.21983029
ration,-2.101418259,15.0039643
clothe,-3.515480292,15.77558549
feed,-3.303048704,15.48688833
forage,-3.306578975,15.03191965
flap,-33.5062947,-63.04339458
coil,-32.25212683,-62.86495671
bulge,-31.60225248,-61.50413528
claw,-28.97007314,-63.09714872
strap,-25.16562203,-68.45587565
saddle,-24.72649488,-66.60203933
tail,-27.11989149,-63.24650101
cock,-26.83848511,-63.46941441
belt,-23.8879179,-68.44930859
harness,-22.37724443,-68.94085955
gear,-21.69948287,-69.13267105
bottle,-26.30465487,-75.84941098
bag,-25.93894719,-75.73310617
pair,-25.26474694,-75.41265049
swivel,-26.55793934,-60.11076794
bow,-36.95071457,-75.34015867
tire,-19.92312909,-69.44925635
cart,-23.63565304,-77.11608742
bicycle,-23.44091077,-77.19441301
hoist,-42.65185374,-59.60874615
wheel,-18.99088453,-69.66051277
head,-37.73202568,-77.37911728
tether,-42.64077509,-59.10483891
hand,-37.12963877,-78.90914471
pocket,-36.60999249,-79.32798462
pen,-35.31014206,-79.93603249
paddle,-22.4022962,-57.00888872
dart,-23.59516176,-56.72314641
arm,-39.5019379,-78.6776605
attach,-43.34612599,-57.27886363
shoulder,-40.62493297,-78.94753229
dive,-21.76673518,-54.87702528
insert,-43.63425223,-56.83191526
brace,-41.16750304,-79.56602386
hitch,-21.02437728,-55.67235212
hop,-20.91611376,-55.52595119
ride,-19.91612382,-55.69298096
wire,-26.68445422,-57.03079384
cement,-28.7198909,-56.46786894
iron,-28.52460757,-56.45485759
blanket,-23.24256513,-75.8136221
hamstring,-44.01533656,-78.81705786
flesh,-45.56248864,-60.34507079
bark,-45.51690211,-60.26034317
pipe,-28.92096758,-57.89615013
lap,-19.91304556,-76.8577278
stalk,-44.67611269,-58.25172137
seat,-19.29182364,-75.17019746
shell,-28.37497421,-55.92641961
chair,-19.25688105,-76.30733419
blister,-47.08324531,-77.13392159
vent,-45.79204977,-54.10313799
mirror,-17.17590482,-76.34754152
bed,-19.239402,-76.71165946
scar,-48.6038721,-75.82421608
bubble,-27.97197988,-54.32706796
rust,-50.1371134,-74.18301399
shower,-19.85844068,-74.46128331
nest,-18.98413805,-78.29725576
rot,-51.40469463,-73.31511091
decay,-51.85009332,-73.02563905
stripe,-24.90300994,-67.50757201
shroud,-30.47151725,-68.55686865
veil,-30.46699736,-68.55398099
arch,-27.95781022,-63.03140712
stone,-30.72071464,-62.58610117
plaster,-32.38269127,-62.39269764
coat,-35.42555069,-63.20304766
drape,-33.18374644,-65.97440979
mesh,-33.61606933,-63.6256544
bead,-36.7979311,-60.87522454
strand,-17.53313611,-59.93265072
rivet,-33.4705965,-62.98773916
wax,-37.64682489,-61.6159731
knot,-16.8496639,-59.39559086
thread,-16.49513386,-59.14391639
tack,-22.90492423,-72.6066003
polish,-37.17945104,-58.55273936
string,-16.23375322,-58.92383679
skirt,-23.96969097,-73.31191514
glue,-38.29005717,-62.8058822
lace,-24.85129706,-73.67822814
rope,-17.42737575,-59.9324906
paint,-38.48992445,-60.19908438
clasp,-27.37972212,-74.16829931
loop,-17.4043407,-59.94924646
braid,-25.63455312,-74.28639541
clutch,-15.82567169,-56.68600347
camouflage,-23.71896315,-74.04985328
weave,-16.27390753,-59.11633335
mask,-23.52055099,-74.08207472
bind,-39.57407792,-64.80941618
vest,-23.3726943,-74.10481224
chalk,-40.14633512,-58.40732222
clip,-13.83702849,-59.48289685
knit,-25.20459499,-75.62158945
flatter,-17.52799828,-60.5236085
cap,-21.993714,-74.4454364
snap,-14.42337409,-53.16015897
mold,-40.88407585,-66.69219866
reel,-21.7632978,-52.99912646
burst,-14.1347969,-52.69534326
hook,-21.9625212,-53.17749778
mop,-42.13280761,-56.12198353
dress,-22.38513595,-77.33713113
layer,-41.28627841,-67.23508131
surface,-41.64711157,-67.74807789
wear,-22.46328587,-78.01174976
don,-22.55934616,-78.876349
cramp,-27.70427608,-44.16446365
outfit,-17.24637572,-78.25290773
scrape,-44.72399483,-54.69454782
rake,-44.75130059,-54.71698741
costume,-16.52257016,-78.21095207
sway,-24.32475325,-42.48534644
fancy,-15.14641431,-78.20885115
elaborate,-14.00742897,-78.12818044
dribble,-19.95919254,-47.39327838
coast,3.576420308,-84.60131556
harbor,4.862578105,-84.59655799
border,0.866966721,-75.20162255
compound,1.614416374,-75.9927611
cave,1.7540597,-84.91611253
desert,2.480521792,-85.31249795
zone,-0.266947846,-73.24273972
near,0.709600196,-75.35755995
dock,7.550630717,-84.2929393
dawn,2.737622523,-85.93856351
barge,7.917253467,-84.34757749
corner,-0.344616633,-74.61579886
wreck,8.087981455,-83.92490157
smack,-1.455763444,-77.12561197
circle,0.022839271,-73.93192579
front,-2.175489114,-74.41247927
row,-2.724668551,-74.59085902
tower,10.6919471,-72.56776938
park,-0.319798221,-73.39244028
transport,8.665517741,-86.66757964
station,11.82908802,-73.12665864
entrance,8.496599934,-67.59423218
exit,8.504983335,-67.57518272
orbit,14.43666024,-74.21942996
swarm,1.150120603,-88.97276268
probe,14.768038,-74.45220672
shelter,-1.066009388,-73.11403542
pool,-6.257207685,-70.93875871
space,9.131405003,-70.12614466
hatch,-7.469009152,-73.29988741
floor,-6.705181324,-71.50731127
ground,-6.892764588,-71.81909506
resort,-2.361437073,-76.12141784
rail,11.41629905,-79.54479701
room,-6.609406981,-69.8574765
retreat,-2.332325986,-76.16656715
craft,14.83718369,-72.05506288
lobby,-10.32495251,-73.67446766
house,-6.4414818,-66.50643884
drill,-9.443027417,-70.33218956
train,13.77409942,-80.27933661
cascade,0.47498773,-90.86570264
farm,-4.065207583,-69.19074483
commute,19.99354166,-86.1787956
shop,-6.586315454,-64.84785312
store,-6.630735475,-64.75843071
tangle,0.272798588,-91.90363541
mine,-4.598637213,-67.14327526
toy,-7.900607593,-63.73885467
vacation,21.72390167,-86.97191276
slope,4.634292725,-87.16505242
trip,22.33108362,-87.27660764
tour,23.26516938,-86.44744277
journey,22.14659125,-88.4291887
visit,22.87454202,-88.03716651
steep,8.543942645,-87.49520407
treasure,-18.83563053,-79.15343705
molest,-23.50444021,70.61597921
handcuff,-23.87651523,68.41987571
invade,-21.13701236,58.82056315
infiltrate,-22.36815515,57.32976721
ransack,-26.3854994,72.47754831
loot,-24.90609383,71.52981077
plunder,-24.17571029,71.29802382
terrorize,-22.95361626,71.08497018
hijack,-22.71111223,56.79441487
interrogate,-24.49923992,68.67843349
apprehend,-25.30191179,69.90841838
prosecute,-26.80852899,69.29899906
retake,-17.03514897,54.01722564
punish,-28.77064194,68.2328505
seize,-16.85606516,54.00323407
perpetrate,-16.18366355,77.92272895
reroute,-24.46439166,51.98674092
conspire,-16.10123542,78.52001651
investigate,-27.13431814,70.45093376
oppress,-12.63655681,75.70651942
repress,-12.51799378,75.70590824
